yearqtr,Id_Rssd,BHCK2170
2000-06-30,1026632,34926378
2000-09-30,1026632,35507641
2000-12-31,1026632,38154765
2001-03-31,1026632,37229480
2001-06-30,1026632,35909181
2001-09-30,1026632,37130744
2001-12-31,1026632,40463921
2002-03-31,1026632,38821020
2002-06-30,1026632,37643129
2002-09-30,1026632,37568099
2002-12-31,1026632,39704560
2003-03-31,1026632,40440345
2003-06-30,1026632,41835993
2003-09-30,1026632,43760255
2003-12-31,1026632,45866220
2004-03-31,1026632,46284135
2004-06-30,1026632,47321417
2004-09-30,1026632,45934699
2004-12-31,1026632,47132922
2005-03-31,1026632,46404900
2005-06-30,1026632,46474987
2005-09-30,1026632,45372909
2005-12-31,1026632,47351142
2006-03-31,1026632,47622238
2006-06-30,1026632,46865684
2006-09-30,1026632,47139551
2006-12-31,1026632,48992466
2007-03-31,1026632,47277511
2007-06-30,1026632,49003812
2007-09-30,1026632,39309316
2012-03-31,1026632,111482000
2012-06-30,1026632,111816000
2012-09-30,1026632,117658000
2012-12-31,1026632,133637000
2013-03-31,1026632,133324000
2013-06-30,1026632,135907000
2013-09-30,1026632,140211000
2013-12-31,1026632,143642000
2014-03-31,1026632,144066000
2014-06-30,1026632,143401000
2014-09-30,1026632,147445000
2014-12-31,1026632,154642000
2015-03-31,1026632,160169000
2015-06-30,1026632,163627000
2015-09-30,1026632,170402000
2015-12-31,1026632,183718000
2016-03-31,1026632,190998000
2016-06-30,1026632,198052000
2016-09-30,1026632,209337000
2016-12-31,1026632,223383000
2017-03-31,1026632,227061000
1986-09-30,1037003,2675651
1986-12-31,1037003,4424695
1987-03-31,1037003,2948155
1987-06-30,1037003,3004546
1987-09-30,1037003,3018969
1987-12-31,1037003,5176716
1988-03-31,1037003,4999988
1988-06-30,1037003,5362719
1988-09-30,1037003,5613185
1988-12-31,1037003,5908060
1989-03-31,1037003,5959510
1989-06-30,1037003,5980024
1989-09-30,1037003,6196369
1989-12-31,1037003,6235097
1990-03-31,1037003,6526292
1990-06-30,1037003,6569065
1990-09-30,1037003,7922239
1990-12-31,1037003,7715385
1991-03-31,1037003,7390762
1991-06-30,1037003,9638439
1991-09-30,1037003,8805428
1991-12-31,1037003,9171066
1992-03-31,1037003,9018734
1992-06-30,1037003,8751677
1992-09-30,1037003,10265666
