Id_Rssd,N,asOfDate
1026632,7,2000-06-30
1026632,7,2000-09-30
1026632,8,2000-12-31
1026632,8,2001-03-31
1026632,8,2001-06-30
1026632,7,2001-09-30
1026632,7,2001-12-31
1026632,6,2002-03-31
1026632,6,2002-06-30
1026632,6,2002-09-30
1026632,6,2002-12-31
1026632,4,2003-03-31
1026632,4,2003-06-30
1026632,4,2003-09-30
1026632,3,2003-12-31
1026632,3,2004-03-31
1026632,3,2004-06-30
1026632,3,2004-09-30
1026632,3,2004-12-31
1026632,3,2005-03-31
1026632,3,2005-06-30
1026632,3,2005-09-30
1026632,3,2005-12-31
1026632,3,2006-03-31
1026632,3,2006-06-30
1026632,3,2006-09-30
1026632,3,2006-12-31
1026632,3,2007-03-31
1026632,3,2007-06-30
1026632,3,2007-09-30
1026632,2,2011-09-30
1026632,2,2011-12-31
1026632,2,2012-03-31
1026632,2,2012-06-30
1026632,2,2012-09-30
1026632,5,2012-12-31
1026632,5,2013-03-31
1026632,5,2013-06-30
1026632,5,2013-09-30
1026632,5,2013-12-31
1026632,5,2014-03-31
1026632,5,2014-06-30
1026632,5,2014-09-30
1026632,5,2014-12-31
1026632,5,2015-03-31
1026632,5,2015-06-30
1026632,5,2015-09-30
1026632,5,2015-12-31
1026632,5,2016-03-31
1026632,5,2016-06-30
1026632,4,2016-09-30
1026632,4,2016-12-31
1026632,4,2017-03-31
1026632,4,2017-06-30
1026632,4,2017-09-30
1026632,4,2017-12-31
1026632,4,2018-03-31
1026632,4,2018-06-30
1026632,4,2018-09-30
1037003,0,1999-12-31
1037003,0,2000-03-31
1037003,0,2000-06-30
1037003,0,2000-09-30
1037003,0,2000-12-31
1037003,0,2001-03-31
1037003,0,2001-06-30
1037003,0,2001-09-30
1037003,0,2001-12-31
1037003,0,2002-03-31
1037003,0,2002-06-30
1037003,0,2002-09-30
1037003,0,2002-12-31
1037003,0,2003-03-31
1037003,1,2003-06-30
1037003,1,2003-09-30
1037003,1,2003-12-31
1037003,1,2004-03-31
1037003,1,2004-06-30
1037003,1,2004-09-30
1037003,1,2004-12-31
1037003,1,2005-03-31
1037003,0,2005-06-30
1037003,0,2005-09-30
1037003,0,2005-12-31
1037003,0,2006-03-31
1037003,0,2006-06-30
1037003,0,2006-09-30
1037003,0,2006-12-31
1037003,0,2007-03-31
1037003,0,2007-06-30
1037003,0,2007-09-30
1037003,0,2007-12-31
1037003,0,2008-03-31
1037003,0,2008-06-30
1037003,0,2008-09-30
1037003,0,2008-12-31
1037003,0,2009-03-31
1037003,0,2009-06-30
1037003,0,2009-09-30
1037003,0,2009-12-31
1037003,0,2010-03-31
1037003,0,2010-06-30
1037003,0,2010-09-30
