Id_Rssd,Region,N,asOfDate
1026632,Northern America,49,2000-06-30
1026632,Caribbean,3,2000-06-30
1026632,East Asia,5,2000-06-30
1026632,Europe,8,2000-06-30
1026632,Southeast Asia and Oceania,3,2000-06-30
1026632,Northern America,49,2000-09-30
1026632,Caribbean,3,2000-09-30
1026632,East Asia,5,2000-09-30
1026632,Europe,8,2000-09-30
1026632,Southeast Asia and Oceania,3,2000-09-30
1026632,Northern America,50,2000-12-31
1026632,Caribbean,4,2000-12-31
1026632,East Asia,5,2000-12-31
1026632,Europe,8,2000-12-31
1026632,Southeast Asia and Oceania,3,2000-12-31
1026632,Northern America,51,2001-03-31
1026632,Caribbean,4,2001-03-31
1026632,East Asia,5,2001-03-31
1026632,Europe,8,2001-03-31
1026632,Southeast Asia and Oceania,3,2001-03-31
1026632,Northern America,52,2001-06-30
1026632,Caribbean,4,2001-06-30
1026632,East Asia,5,2001-06-30
1026632,Europe,13,2001-06-30
1026632,Southeast Asia and Oceania,3,2001-06-30
1026632,Northern America,46,2001-09-30
1026632,Caribbean,3,2001-09-30
1026632,East Asia,4,2001-09-30
1026632,Europe,12,2001-09-30
1026632,Southeast Asia and Oceania,3,2001-09-30
1026632,Northern America,48,2001-12-31
1026632,Caribbean,3,2001-12-31
1026632,East Asia,4,2001-12-31
1026632,Europe,12,2001-12-31
1026632,Southeast Asia and Oceania,3,2001-12-31
1026632,Northern America,46,2002-03-31
1026632,Caribbean,3,2002-03-31
1026632,East Asia,2,2002-03-31
1026632,Europe,11,2002-03-31
1026632,Southeast Asia and Oceania,2,2002-03-31
1026632,Northern America,46,2002-06-30
1026632,Caribbean,3,2002-06-30
1026632,East Asia,2,2002-06-30
1026632,Europe,11,2002-06-30
1026632,Southeast Asia and Oceania,2,2002-06-30
1026632,Northern America,44,2002-09-30
1026632,Caribbean,3,2002-09-30
1026632,East Asia,2,2002-09-30
1026632,Europe,11,2002-09-30
1026632,Southeast Asia and Oceania,2,2002-09-30
1026632,Northern America,41,2002-12-31
1026632,Caribbean,3,2002-12-31
1026632,East Asia,2,2002-12-31
1026632,Europe,11,2002-12-31
1026632,Southeast Asia and Oceania,2,2002-12-31
