Id_Rssd,Type,N,asOfDate
1026632,Financial Holding Company - Domestic,1,2000-06-30
1026632,Non-deposit Trust Company - Non- member,3,2000-06-30
1026632,Data Processing Servicer,4,2000-06-30
1026632,Domestic Entity Other,23,2000-06-30
1026632,Securities Broker/Dealer,7,2000-06-30
1026632,International Nonbank Sub of Domestic Entities,19,2000-06-30
1026632,Foreign Entity Other,2,2000-06-30
1026632,Bank Holding Company,2,2000-06-30
1026632,Savings & Loan Association,1,2000-06-30
1026632,National Bank,2,2000-06-30
1026632,Non-member Bank,2,2000-06-30
1026632,State Member Bank,1,2000-06-30
1026632,Edge Corporation - Investment,1,2000-06-30
1026632,Financial Holding Company - Domestic,1,2000-09-30
1026632,Non-deposit Trust Company - Non- member,2,2000-09-30
1026632,Data Processing Servicer,4,2000-09-30
1026632,Domestic Entity Other,22,2000-09-30
1026632,Securities Broker/Dealer,7,2000-09-30
1026632,International Nonbank Sub of Domestic Entities,19,2000-09-30
1026632,Foreign Entity Other,2,2000-09-30
1026632,Bank Holding Company,3,2000-09-30
1026632,Savings & Loan Association,1,2000-09-30
1026632,National Bank,2,2000-09-30
1026632,Non-member Bank,3,2000-09-30
1026632,State Member Bank,1,2000-09-30
1026632,Edge Corporation - Investment,1,2000-09-30
1026632,Financial Holding Company - Domestic,1,2000-12-31
1026632,Non-deposit Trust Company - Non- member,2,2000-12-31
1026632,Data Processing Servicer,3,2000-12-31
1026632,Domestic Entity Other,23,2000-12-31
1026632,Securities Broker/Dealer,8,2000-12-31
1026632,International Nonbank Sub of Domestic Entities,20,2000-12-31
1026632,Foreign Entity Other,2,2000-12-31
1026632,Bank Holding Company,3,2000-12-31
1026632,Savings & Loan Association,1,2000-12-31
1026632,National Bank,2,2000-12-31
1026632,Non-member Bank,3,2000-12-31
1026632,State Member Bank,1,2000-12-31
1026632,Edge Corporation - Investment,1,2000-12-31
1026632,Financial Holding Company - Domestic,1,2001-03-31
1026632,Non-deposit Trust Company - Non- member,2,2001-03-31
1026632,Data Processing Servicer,3,2001-03-31
1026632,Domestic Entity Other,24,2001-03-31
1026632,Securities Broker/Dealer,8,2001-03-31
1026632,International Nonbank Sub of Domestic Entities,20,2001-03-31
1026632,Foreign Entity Other,2,2001-03-31
1026632,Bank Holding Company,3,2001-03-31
1026632,Savings & Loan Association,1,2001-03-31
1026632,National Bank,2,2001-03-31
1026632,Non-member Bank,3,2001-03-31
1026632,State Member Bank,1,2001-03-31
1026632,Edge Corporation - Investment,1,2001-03-31
1026632,Financial Holding Company - Domestic,1,2001-06-30
1026632,Non-deposit Trust Company - Non- member,2,2001-06-30
1026632,Data Processing Servicer,3,2001-06-30
1026632,Domestic Entity Other,25,2001-06-30
1026632,Securities Broker/Dealer,8,2001-06-30
1026632,International Nonbank Sub of Domestic Entities,25,2001-06-30
1026632,Foreign Entity Other,2,2001-06-30
1026632,Bank Holding Company,3,2001-06-30
1026632,Savings & Loan Association,1,2001-06-30
1026632,National Bank,2,2001-06-30
1026632,Non-member Bank,3,2001-06-30
1026632,State Member Bank,1,2001-06-30
1026632,Edge Corporation - Investment,1,2001-06-30
1026632,Financial Holding Company - Domestic,1,2001-09-30
1026632,Non-deposit Trust Company - Non- member,2,2001-09-30
1026632,Domestic Entity Other,22,2001-09-30
1026632,Securities Broker/Dealer,6,2001-09-30
1026632,International Nonbank Sub of Domestic Entities,22,2001-09-30
1026632,Foreign Entity Other,2,2001-09-30
1026632,Bank Holding Company,3,2001-09-30
1026632,Savings & Loan Association,1,2001-09-30
1026632,National Bank,2,2001-09-30
1026632,Non-member Bank,3,2001-09-30
1026632,State Member Bank,1,2001-09-30
1026632,Edge Corporation - Investment,1,2001-09-30
1026632,Data Processing Servicer,2,2001-09-30
1026632,Financial Holding Company - Domestic,1,2001-12-31
