"Type","V1","yearqtr"
"BHC",72,1960-03-31
"FBO as BHC",7,1960-03-31
"SLHC",12,1960-03-31
"FHC - Foreign",1,1960-03-31
"BHC",75,1960-06-30
"FBO as BHC",7,1960-06-30
"SLHC",12,1960-06-30
"FHC - Foreign",1,1960-06-30
"BHC",75,1960-09-30
"FBO as BHC",7,1960-09-30
"SLHC",12,1960-09-30
"FHC - Foreign",1,1960-09-30
"BHC",78,1960-12-31
"FBO as BHC",7,1960-12-31
"SLHC",12,1960-12-31
"FHC - Foreign",1,1960-12-31
"BHC",82,1961-03-31
"FBO as BHC",7,1961-03-31
"SLHC",12,1961-03-31
"FHC - Foreign",1,1961-03-31
"BHC",89,1961-06-30
"FBO as BHC",7,1961-06-30
"SLHC",12,1961-06-30
"FHC - Foreign",1,1961-06-30
"BHC",95,1961-09-30
"FBO as BHC",7,1961-09-30
"SLHC",12,1961-09-30
"FHC - Foreign",1,1961-09-30
"BHC",99,1961-12-31
"FBO as BHC",7,1961-12-31
"SLHC",12,1961-12-31
"FHC - Foreign",1,1961-12-31
"BHC",103,1962-03-31
"FBO as BHC",7,1962-03-31
"SLHC",12,1962-03-31
"FHC - Foreign",1,1962-03-31
"BHC",106,1962-06-30
"FBO as BHC",7,1962-06-30
"SLHC",12,1962-06-30
"FHC - Foreign",1,1962-06-30
"BHC",110,1962-09-30
"FBO as BHC",7,1962-09-30
"SLHC",12,1962-09-30
"FHC - Foreign",1,1962-09-30
"BHC",115,1962-12-31
"FBO as BHC",7,1962-12-31
"SLHC",12,1962-12-31
"FHC - Foreign",1,1962-12-31
"BHC",119,1963-03-31
"FBO as BHC",7,1963-03-31
"SLHC",12,1963-03-31
"FHC - Foreign",1,1963-03-31
"BHC",125,1963-06-30
"FBO as BHC",8,1963-06-30
"SLHC",12,1963-06-30
"FHC - Foreign",1,1963-06-30
"BHC",130,1963-09-30
"FBO as BHC",8,1963-09-30
"SLHC",12,1963-09-30
"FHC - Foreign",1,1963-09-30
"BHC",132,1963-12-31
"FBO as BHC",9,1963-12-31
"SLHC",12,1963-12-31
"FHC - Foreign",1,1963-12-31
"BHC",140,1964-03-31
"FBO as BHC",9,1964-03-31
