"yearqtr","Event Type","value","event.type"
1960-03-31,"Established",0,"entry"
1960-06-30,"Established",3,"entry"
1960-09-30,"Established",0,"entry"
1960-12-31,"Established",3,"entry"
1961-03-31,"Established",4,"entry"
1961-06-30,"Established",7,"entry"
1961-09-30,"Established",6,"entry"
1961-12-31,"Established",4,"entry"
1962-03-31,"Established",4,"entry"
1962-06-30,"Established",2,"entry"
1962-09-30,"Established",4,"entry"
1962-12-31,"Established",5,"entry"
1963-03-31,"Established",4,"entry"
1963-06-30,"Established",6,"entry"
1963-09-30,"Established",5,"entry"
1963-12-31,"Established",3,"entry"
1964-03-31,"Established",8,"entry"
1964-06-30,"Established",7,"entry"
1964-09-30,"Established",7,"entry"
1964-12-31,"Established",10,"entry"
1965-03-31,"Established",8,"entry"
1965-06-30,"Established",8,"entry"
1965-09-30,"Established",1,"entry"
1965-12-31,"Established",6,"entry"
1966-03-31,"Established",5,"entry"
1966-06-30,"Established",6,"entry"
1966-09-30,"Established",6,"entry"
1966-12-31,"Established",3,"entry"
1967-03-31,"Established",8,"entry"
1967-06-30,"Established",17,"entry"
1967-09-30,"Established",4,"entry"
1967-12-31,"Established",14,"entry"
1968-03-31,"Established",9,"entry"
1968-06-30,"Established",24,"entry"
1968-09-30,"Established",18,"entry"
1968-12-31,"Established",20,"entry"
1969-03-31,"Established",32,"entry"
1969-06-30,"Established",33,"entry"
1969-09-30,"Established",23,"entry"
1969-12-31,"Established",33,"entry"
1970-03-31,"Established",18,"entry"
1970-06-30,"Established",39,"entry"
1970-09-30,"Established",25,"entry"
1970-12-31,"Established",67,"entry"
1971-03-31,"Established",13,"entry"
1971-06-30,"Established",9,"entry"
1971-09-30,"Established",15,"entry"
1971-12-31,"Established",20,"entry"
1972-03-31,"Established",22,"entry"
1972-06-30,"Established",18,"entry"
1972-09-30,"Established",25,"entry"
1972-12-31,"Established",25,"entry"
1973-03-31,"Established",32,"entry"
1973-06-30,"Established",36,"entry"
1973-09-30,"Established",30,"entry"
1973-12-31,"Established",33,"entry"
1974-03-31,"Established",33,"entry"
1974-06-30,"Established",34,"entry"
1974-09-30,"Established",27,"entry"
1974-12-31,"Established",40,"entry"
1975-03-31,"Established",27,"entry"
