Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK,NY",2615183000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE,NC",2338913000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK,NY",1925165000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO,CA",1872981000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK,NY",957196000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK,NY",865517000.0
7,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS,MN",464607000.0
8,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON,DE",380646026.0
9,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH,PA",380275666.0
10,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN,VA",362909356.0
11,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK,NY",349783000.0
12,TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA                                                                     ,1607170,"NEW YORK,NY",302803063.0
13,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK,NY",274313812.0
14,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"SAN FRANCISCO,CA",272102000.0
15,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON,MA",234006617.0
16,BB&T CORPORATION                                                                                                        ,1074156,"WINSTON-SALEM,NC",222885000.0
17,"SUNTRUST BANKS, INC.                                                                                                    ",1131787,"ATLANTA,GA",211641171.0
18,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK,NY",189083000.0
19,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT,MI",173101000.0
20,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY                                                                          ,3840207,"BLOOMINGTON,IL",165953266.0
21,MUFG AMERICAS HOLDINGS CORPORATION                                                                                      ,1378434,"NEW YORK,NY",161035825.0
22,UNITED SERVICES AUTOMOBILE ASSOCIATION                                                                                  ,1447376,"SAN ANTONIO,TX",159943618.0
23,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE,RI",158989030.0
24,BMO FINANCIAL CORP.                                                                                                     ,1245415,"WILMINGTON,DE",155083445.0
25,BARCLAYS US LLC                                                                                                         ,5006575,"NEW YORK,NY",154641000.0
26,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI,OH",141684879.0
27,KEYCORP                                                                                                                 ,1068025,"CLEVELAND,OH",139184992.0
28,UBS AMERICAS HOLDING LLC                                                                                                ,4846998,"NEW YORK,NY",137405594.0
29,NORTHERN TRUST CORPORATION                                                                                              ,1199611,"CHICAGO,IL",132378457.0
30,"SANTANDER HOLDINGS USA, INC.                                                                                            ",3981856,"BOSTON,MA",131628075.0
31,"CREDIT SUISSE HOLDINGS (USA), INC.                                                                                      ",1574834,"NEW YORK,NY",131381257.0
32,"BNP PARIBAS USA, INC.                                                                                                   ",1575569,"NEW YORK,NY",127518917.0
33,REGIONS FINANCIAL CORPORATION                                                                                           ,3242838,"BIRMINGHAM,AL",124821814.0
34,DB USA CORPORATION                                                                                                      ,2816906,"NEW YORK,NY",124722000.0
35,RBC US GROUP HOLDINGS LLC                                                                                               ,5280254,"TORONTO,0 ",120114994.0
36,M&T BANK CORPORATION                                                                                                    ,1037003,"BUFFALO,NY",116827637.0
37,DISCOVER FINANCIAL SERVICES                                                                                             ,3846375,"RIVERWOODS,IL",105842272.0
38,HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,1068191,"COLUMBUS,OH",105652344.0
39,SYNCHRONY FINANCIAL                                                                                                     ,4504654,"STAMFORD,CT",104546000.0
40,"BBVA COMPASS BANCSHARES, INC.                                                                                           ",1078529,"HOUSTON,TX",90047656.0
